index,Realized,Forecast
9/1/2042,,54970.18712
10/1/2042,,54971.1505
11/1/2042,,54972.11331
12/1/2042,,54973.01446
1/1/2043,,54973.91508
2/1/2043,,54974.78564
3/1/2043,,54975.54697
4/1/2043,,54976.36308
5/1/2043,,54977.12694
6/1/2043,,54977.89033
7/1/2043,,54978.60484
8/1/2043,,54979.31892
9/1/2043,,54980.00918
10/1/2043,,54980.65522
11/1/2043,,54981.30088
12/1/2043,,54981.9052
1/1/2044,,54982.50914
2/1/2044,,54983.09294
3/1/2044,,54983.62142
4/1/2044,,54984.16809
5/1/2044,,54984.67976
6/1/2044,,54985.19111
7/1/2044,,54985.66972
8/1/2044,,54986.14803
9/1/2044,,54986.61039
10/1/2044,,54987.04313
11/1/2044,,54987.47561
12/1/2044,,54987.88039
1/1/2045,,54988.28493
2/1/2045,,54988.67597
3/1/2045,,54989.01793
4/1/2045,,54989.3845
5/1/2045,,54989.7276
6/1/2045,,54990.07048
7/1/2045,,54990.39141
8/1/2045,,54990.71214
9/1/2045,,54991.02217
10/1/2045,,54991.31233
11/1/2045,,54991.60233
12/1/2045,,54991.87375
1/1/2046,,54992.145
2/1/2046,,54992.4072
3/1/2046,,54992.6365
4/1/2046,,54992.88229
5/1/2046,,54993.11235
6/1/2046,,54993.34226
7/1/2046,,54993.55745
8/1/2046,,54993.7725
9/1/2046,,54993.98038
10/1/2046,,54994.17494
11/1/2046,,54994.36939
12/1/2046,,54994.55138
1/1/2047,,54994.73326
2/1/2047,,54994.90907
3/1/2047,,54995.06281
4/1/2047,,54995.22762
5/1/2047,,54995.38187
6/1/2047,,54995.53603
7/1/2047,,54995.68032
8/1/2047,,54995.82451
9/1/2047,,54995.9639
10/1/2047,,54996.09435
11/1/2047,,54996.22473
12/1/2047,,54996.34675
1/1/2048,,54996.4687
2/1/2048,,54996.58658
3/1/2048,,54996.69329
4/1/2048,,54996.80368
5/1/2048,,54996.90699
6/1/2048,,54997.01024
7/1/2048,,54997.10688
8/1/2048,,54997.20345
9/1/2048,,54997.29681
10/1/2048,,54997.38418
11/1/2048,,54997.4715
12/1/2048,,54997.55323
1/1/2049,,54997.63491
2/1/2049,,54997.71386
3/1/2049,,54997.7829
4/1/2049,,54997.85691
5/1/2049,,54997.92618
6/1/2049,,54997.99541
7/1/2049,,54998.0602
8/1/2049,,54998.12496
9/1/2049,,54998.18755
10/1/2049,,54998.24613
11/1/2049,,54998.30468
12/1/2049,,54998.35948
1/1/2050,,54998.41424
2/1/2050,,54998.46718
3/1/2050,,54998.51347
4/1/2050,,54998.5631
5/1/2050,,54998.60954
6/1/2050,,54998.65596
7/1/2050,,54998.6994
8/1/2050,,54998.74282
9/1/2050,,54998.78479
10/1/2050,,54998.82406
11/1/2050,,54998.86332
12/1/2050,,54998.90006
